date,intraday_sentiment_index,intraday_item_count,intraday_no_posts,overnight_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-07-01,-0.0816003922723,39,0,-0.220514204182,40,0,134300,142500,129500,132700,1507199,17.1100006104,17.2999992371,15.970000267,16.5900001526,0
2026-07-02,-0.0980800369557,25,0,-0.162499746168,29,0,129800,130800,122600,125500,661857,17.0499992371,17.2099990845,15.7899999619,16.1499996185,0
2026-07-03,-0.0992457372655,36,0,-0.232503868283,29,0,123000,125300,115300,124400,581378,,,,,
2026-07-06,-0.0753989230582,36,0,0.00961491770686,30,0,124500,125200,117300,121700,388813,16.3999996185,16.5,15.5600004196,15.5699996948,0
2026-07-07,-0.116713542753,20,0,-0.166616020426,23,0,120600,125700,117500,120200,486586,15.8699998856,16.6399993896,15.529999733,16.1299991608,0
2026-07-08,-0.0976300513518,24,0,0.0714092830987,11,0,117500,119800,111900,112600,516352,16.5499992371,18.9099998474,16.3500003815,16.8999996185,0
2026-07-09,-0.0452437574646,19,0,-0.0701144550943,35,0,113300,117900,109400,111500,780559,16.5799999237,17.2700004578,15.7600002289,15.8400001526,0
2026-07-10,-0.044505278478,10,0,0.0264517379034,12,0,113800,123400,113800,121600,565475,16.0599994659,16.1599998474,14.9600000381,15.029999733,0
2026-07-13,-0.0805790578124,12,0,-0.281976693661,15,0,123000,126900,117800,119800,571074,16.3199996948,17.4099998474,16.0300006866,17.1599998474,0
2026-07-14,-0.00644655199462,14,0,0.111835198961,8,0,118700,120700,108100,112600,494046,17.2099990845,17.5599994659,16.1499996185,16.5,0
2026-07-15,-0.259832796129,21,0,-0.148917280437,10,0,116100,124000,116100,120900,426284,16.2000007629,16.5699996948,15.6400003433,15.6700000763,0
2026-07-16,-0.184547305539,15,0,-0.235395755519,9,0,120000,121500,111700,112400,290976,15.8199996948,17.2299995422,15.7700004578,16.7299995422,0
2026-07-20,-0.101904697022,24,0,-0.0934015779891,24,0,109900,110600,103100,104100,314459,18.8999996185,18.9400005341,17.4099998474,18.6499996185,0
2026-07-21,-0.0879425238748,15,0,-0.217433052256,15,0,103000,107300,101600,105900,288501,17.4799995422,17.9899997711,16.8600006104,17.0499992371,0
2026-07-22,-0.157171948378,6,0,0.100081989779,9,0,109500,113000,107500,107500,300529,17.4200000763,19.4899997711,16.6399993896,16.6399993896,0
2026-07-23,-0.100276668123,13,0,0.102362356055,9,0,108100,118400,107000,118200,353716,17.6700000763,20.3099994659,17.3199996948,18.7000007629,0
2026-07-24,0.0458929822053,6,0,-0.0383439035985,9,0,114700,115200,108100,108300,308723,18.9599990845,19.0499992371,17.4099998474,18.5799999237,0
2026-07-27,-0.148652794315,8,0,-0.254571070876,8,0,113400,113400,108000,110500,280334,17.6200008392,19.9300003052,17.5300006866,18.6700000763,0
2026-07-28,-0.201068977493,14,0,-0.643900576217,3,0,106400,107800,99600,101800,319884,19.0499992371,19.5200004578,17.8799991608,18.2099990845,0
2026-07-29,-0.0446509357542,20,0,-0.0764191506787,18,0,102300,104800,88300,92600,583750,18.2700004578,20.8799991608,17.4500007629,20.6599998474,0
2026-07-30,0.0418641188798,15,0,-0.0575017282869,12,0,90300,102700,90300,96500,534615,19.5599994659,20.0799999237,17,17.0900001526,0
2026-07-31,-0.163448262125,26,0,0.0424304221104,9,0,101600,105200,98000,103500,497654,16.8199996948,18.7000007629,15.8199996948,15.9899997711,0
2026-08-03,-0.129891998443,9,0,-0.123566023933,22,0,98700,100700,90400,96800,649492,16.0300006866,16.2999992371,15.5399999619,15.8599996567,0
2026-08-04,0.0185196648755,7,0,-0.158164322722,12,0,97100,103800,97100,102500,556835,15.7600002289,16.6499996185,15.5100002289,16.5,0
2026-08-05,-0.0503686315114,20,0,-0.000116160493538,3,0,105000,106200,100500,101700,454007,16.1499996185,18.4300003052,15.4799995422,15.8100004196,0
2026-08-06,0.171882682788,8,0,-0.161213840316,19,0,100400,104400,98300,102500,397836,15.8299999237,16.0300006866,15.1099996567,15.1499996185,0
2026-08-07,0.35648231487,2,0,-0.161991538715,11,0,106700,111700,100600,107000,505842,15.3000001907,15.3599996567,14.7700004578,14.8999996185,0
2026-08-10,-0.0162699009173,6,0,-0.00104370424451,10,0,107900,115400,105600,114800,477817,15.3999996185,15.720000267,15.1000003815,15.4600000381,0
2026-08-11,-0.0555987809385,8,0,0.00110056514596,9,0,114000,116600,108100,109800,442475,15.4200000763,15.6099996567,15.2299995422,15.279999733,0
2026-08-12,-0.0319868765849,3,0,-0.164939454421,8,0,110100,114400,107500,114400,297511,15.279999733,15.4200000763,14.3900003433,14.5500001907,0
2026-08-13,-0.0514902608078,7,0,0.0271912661507,3,0,114800,116800,111700,114500,384619,14.6800003052,14.8000001907,14.3900003433,14.6300001144,0
2026-08-14,-0.00796410970923,11,0,-0.102920848012,4,0,115800,120200,112900,116700,345739,14.6400003433,14.720000267,14.1800003052,14.25,0
2026-08-17,0,0,1,0.284731634553,6,0,,,,,,,,,,
