date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-06-23,-0.0372587774363,0.161199289938,16,0,0.112244847062,0.141391329252,40,0,2898000,2943000,2536000,2555000,8050335,19.67,20.54,18.61,19.49,0
2026-06-24,-0.0337167406793,0.276555601304,33,0,0.0944277378947,0.215325787235,46,0,2598000,2703000,2453000,2580000,7487916,19.13,20.34,18.04,18.63,0
2026-06-25,-0.120146540638,0.136420679801,63,0,0.154199598702,0.288149203957,52,0,2865000,2987000,2749000,2917000,6790853,18.11,19.95,17.72,18.89,0
2026-06-26,-0.1283913226,0.192252093383,23,0,-0.0873608654839,0.109895441307,62,0,2850000,2880000,2600000,2673000,7467492,19.7,20.72,18.2,18.41,0
2026-06-29,-0.031869385399,0.193495675314,21,0,0.046384816596,0.208587578983,191,0,2636000,2688000,2517000,2628000,5217788,18.6,19.45,17.49,17.65,0
2026-06-30,-0.0173657696651,0.192725713364,43,0,0.345836901049,0.37180026128,44,0,2608000,2742000,2541000,2650000,5109213,17.54,17.75,16.27,16.45,0
2026-07-01,-0.16176750891,0.162074627013,28,0,0.111453941274,0.286474341482,60,0,2665000,2723000,2502000,2560000,4277276,17.11,17.3,15.97,16.59,0
2026-07-02,-0.0922432519,0.202790984671,30,0,0.031320329791,0.17909047783,56,0,2351000,2448000,2187000,2187000,7685914,17.05,17.21,15.79,16.15,0
2026-07-03,-0.00704029568412,0.133042964204,34,0,0.0216090834595,0.214735551134,37,0,2197000,2454000,2045000,2425000,7984914,,,,,
2026-07-06,-0.100660821145,0.168527097158,33,0,0.0686821726429,0.244764151328,212,0,2450000,2497000,2292000,2343000,4235360,16.4,16.5,15.56,15.57,0
2026-07-07,-0.0437445370526,0.0536710314384,19,0,-0.0356945430583,0.0984768063942,24,0,2289000,2343000,2080000,2201000,6351195,15.87,16.64,15.53,16.13,0
2026-07-08,-0.275169838657,-0.0296208572657,14,0,-0.0812497471512,0.109438290135,57,0,2118000,2329000,2076000,2076000,6975631,16.55,18.91,16.35,16.9,0
2026-07-09,-0.0841555480921,0.187049232557,41,0,0.00587408204846,0.127128174428,65,0,2228000,2270000,2091000,2186000,6261504,16.58,17.27,15.76,15.84,0
2026-07-10,0.146103900231,0.331678283585,21,0,0.2994197112,0.311261957787,30,0,2296000,2305000,2166000,2180000,4827239,16.06,16.16,14.96,15.03,0
2026-07-13,-0.0632928498827,0.182882436727,11,0,-0.0408138186745,0.118737576633,161,0,2113000,2142000,1839000,1845000,8040043,16.32,17.41,16.03,17.16,0
2026-07-14,0.00998870932667,0.238656938985,30,0,0.0045023658,0.0998991749835,34,0,1825000,1936000,1678000,1913000,10447011,17.21,17.56,16.15,16.5,0
2026-07-15,-0.0117697699481,0.112865624979,19,0,0.15828422274,0.206918074846,54,0,2120000,2171000,2070000,2082000,6046951,16.2,16.57,15.64,15.67,0
2026-07-16,-0.0379778166294,0.165607003837,17,0,-0.0965955240464,0.105684076524,28,0,1902000,1919000,1821000,1842000,5608812,15.82,17.23,15.77,16.73,0
2026-07-20,-0.0698748977471,0.124416282093,46,0,-0.0904010538148,0.0929634253651,292,0,1745000,1892000,1735000,1764000,5876444,18.9,18.94,17.41,18.65,0
2026-07-21,-0.179123500895,0.125454229766,38,0,0.207802568518,0.197522423729,24,0,1775000,1889000,1732000,1836000,4639208,17.48,17.99,16.86,17.05,0
2026-07-22,0.0755966742861,0.276967334062,36,0,0.0964807806993,0.303786727972,71,0,1977000,2006000,1830000,1830000,4802637,17.42,19.49,16.64,16.64,0
2026-07-23,0.00188979611429,0.195837533386,21,0,0.0755482256958,0.235824233772,38,0,1910000,1948000,1845000,1919000,4119477,17.67,20.31,17.32,18.7,0
2026-07-24,-0.07089743498,0.0716629650783,30,0,0.0114677537229,0.190305212566,45,0,1894000,1894000,1752000,1759000,4935624,18.96,19.05,17.41,18.58,0
2026-07-27,-0.155620775361,0.147339874061,33,0,-0.00628216790352,0.188870635455,203,0,1814000,1821000,1707000,1816000,4030933,17.62,19.93,17.53,18.67,0
2026-07-28,-0.256987084924,-0.0368232926235,17,0,-0.193080178583,0.0240064904842,51,0,1662000,1674000,1550000,1550000,8120587,19.05,19.52,17.88,18.21,0
2026-07-29,-0.106374683091,0.02129801515,11,0,-0.0825193721802,0.0371829203384,53,0,1567000,1619000,1246000,1401000,12428883,18.27,20.88,17.45,20.66,0
2026-07-30,0.107338920833,0.09678377,6,0,-0.132322129147,0.108282512384,47,0,1361000,1459000,1287000,1322000,9543189,19.56,20.08,17,17.09,0
2026-07-31,0.145682736351,0.235019515153,47,0,0.114981267562,0.251056946184,53,0,1697000,1718000,1586000,1718000,10499619,16.82,18.7,15.82,15.99,0
2026-08-03,-0.249088298465,0.0749795465528,37,0,-0.0158741859812,0.197806558614,185,0,1642000,1645000,1562000,1567000,5432833,16.03,16.3,15.54,15.86,0
2026-08-04,-0.123274724819,0.114580119495,37,0,-0.074795125754,0.103407021584,66,0,1620000,1630000,1483000,1577000,5391210,15.76,16.65,15.51,16.5,0
2026-08-05,-0.0164606050861,0.21610906287,36,0,0.108672710779,0.259217055571,44,0,1693000,1701000,1647000,1668000,3945674,16.15,18.43,15.48,15.81,0
2026-08-06,-0.0682385849645,0.150560938937,31,0,-0.11993509014,0.0745918010982,39,0,1600000,1606000,1481000,1495000,5498295,15.83,16.03,15.11,15.15,0
2026-08-07,-0.213620724912,-0.109332291333,12,0,-0.253810519616,0.0432744417963,27,0,1521000,1542000,1409000,1422000,5002539,15.3,15.36,14.77,14.9,0
2026-08-10,-0.146806011454,0.160420847278,25,0,0.0177469570623,0.201267444465,175,0,1443000,1487000,1397000,1420000,3295283,15.4,15.72,15.1,15.46,0
2026-08-11,-0.0712954875033,0.241024784259,46,0,-0.0368436394727,0.230879892031,49,0,1405000,1455000,1373000,1425000,3817655,15.42,15.61,15.23,15.28,0
2026-08-12,0.00454910184808,0.30498255839,24,0,0.0157931464608,0.229742663714,39,0,1456000,1549000,1440000,1504000,4566672,15.28,15.42,14.39,14.55,0
2026-08-13,-0.0256233201875,0.404091059966,16,0,0.102764839788,0.315714049314,41,0,1582000,1634000,1567000,1593000,4680347,14.68,14.8,14.39,14.63,0
2026-08-14,0.0120156341678,0.231047802644,27,0,0.268069483795,0.312437799155,20,0,1695000,1697000,1626000,1645000,4295990,14.64,14.72,14.18,14.25,0
