date,kospi_open,kospi_high,kospi_low,kospi_close,kospi_volume,kosdaq_open,kosdaq_high,kosdaq_low,kosdaq_close,kosdaq_volume,vix_open,vix_high,vix_low,vix_close,vix_volume,vkospi_open,vkospi_high,vkospi_low,vkospi_close
2026-06-01,8485.67,8874.16,8485.67,8788.38,636175294,1072.77,1082.75,1043.91,1050.03,835031542,15.88,16.34,15.71,16.05,0,72.27,75.14,72.27,74.22
2026-06-02,8883.19,8933.62,8503.12,8801.49,632553467,1044.89,1045.77,1009.75,1026.03,774800387,16.28,16.29,15.71,15.77,0,75.37,75.42,71.65,73.6
2026-06-03,,,,,,,,,,,15.97,16.63,15.94,16.06,0,,,,
2026-06-04,8623.82,8759.05,8577.3,8639.41,437895857,1032.91,1065.9,1032.29,1049.73,622959928,16.33,16.8,15.18,15.4,0,73.88,74.27,73.14,73.44
2026-06-05,8323.2,8382.16,8038.1,8160.59,463197407,1035.22,1035.22,992.8,1002.44,724352334,15.87,21.57,15.56,21.51,0,73.87,73.9,72.05,73.44
2026-06-08,8048.09,8048.09,7442.73,7484.41,452204169,959.61,959.61,908.46,911.39,624350804,20.29,20.35,17.94,18.92,0,76.09,76.63,74.77,76.63
2026-06-09,7697.76,8119.09,7598.87,8096.93,448536749,937.69,981.24,937.04,967.81,620285982,18.19,23.34,17.52,19.87,0,86.55,91.23,85.56,91.23
2026-06-10,7899.77,7996.68,7541.11,7730.82,460876834,958.58,983.25,932.27,951.63,614592037,20.1,22.66,20.06,22.22,0,87.39,89.17,86.04,88.35
2026-06-11,7509.62,7800.62,7394.46,7763.95,478729575,937.17,997.11,921.08,996.93,635319025,21.25,22.59,19.36,19.44,0,88.09,89.47,87.29,87.3
2026-06-12,8263.85,8434.4,8079.77,8123.62,493405620,1027.05,1049.7,1021.49,1029.05,644914560,19.51,19.85,17.59,17.68,0,85.31,91.94,84.86,89.91
2026-06-15,8526.12,8603.48,8450.24,8545.98,516647764,1048.19,1054.32,1025.42,1034.03,561328600,16.78,16.85,15.98,16.2,0,88.32,94.25,87.15,87.85
2026-06-16,8696.55,8753.82,8540.41,8726.6,586336867,1039,1040.86,1015.73,1018.68,621165407,16.2,16.44,15.77,16.41,0,87.34,88.25,84.21,84.29
2026-06-17,8622.13,8872.18,8605.66,8864.24,571194217,1019.88,1039.55,1008.57,1031.96,570785870,16.08,18.84,16.02,18.44,0,81.29,81.34,79.4,79.65
2026-06-18,8884.92,9106.07,8867.34,9063.84,510940125,1029.81,1031.54,996.93,1000.93,611802920,17.23,17.6,16.35,16.4,0,77.32,82.7,77.06,80.25
2026-06-19,9288.89,9385.59,8831.72,9052.42,517247568,1001.4,1001.4,946.15,966.59,882518817,,,,,,81.6,84.87,79.51,83.57
2026-06-22,8954.43,9253,8900.68,9114.55,381081263,957.49,979.58,944.31,968.4,631818653,17.48,17.92,16.49,17.28,0,87.36,90.6,86.58,87.36
2026-06-23,9083.54,9175.45,8203.84,8203.84,488741799,958.64,971.69,891.52,891.52,797431660,19.67,20.54,18.61,19.49,0,87.99,89.69,85.9,89.41
2026-06-24,8356.79,8577.52,8080.99,8471.02,418169043,905.13,922.12,886.17,909.31,643383300,19.13,20.34,18.04,18.63,0,95.32,97.78,94.19,94.81
2026-06-25,8703.42,9044.04,8693.62,8930.3,456880223,923.66,930.81,884.05,887.81,639124598,18.11,19.95,17.72,18.89,0,96.47,96.47,93.49,95.09
2026-06-26,8813.18,8861.7,8126.84,8411.21,518472966,884.43,887.43,838.53,851.37,728780416,19.7,20.72,18.2,18.41,0,92.06,94.04,89.59,92.71
2026-06-29,8334.28,8525.53,8127.99,8394.65,371222766,860.4,923.11,859.33,920.57,576404248,18.6,19.45,17.49,17.65,0,97.99,97.99,96.58,96.94
2026-06-30,8416.7,8667.73,8220.8,8476.48,449823583,925.21,935.27,910.3,916.18,661150809,17.54,17.75,16.27,16.45,0,95.48,95.64,93.78,93.8
2026-07-01,8591.5,8620.15,8143.33,8303.41,468193407,924.09,955.45,905.87,929.35,601211887,17.11,17.3,15.97,16.59,0,89.9,90.26,87.72,88.67
2026-07-02,7933.1,8136.28,7616.33,7648.09,505157279,904.53,904.53,863.74,866.72,560643849,17.05,17.21,15.79,16.15,0,86.37,87.37,83.97,86.41
2026-07-03,7739.75,8136.28,7378.1,8088.34,465820788,875.18,875.39,823.98,868.41,601113167,,,,,,89.11,90.96,87.63,89.29
2026-07-06,8186.82,8327.26,7815.53,8051.33,448691380,866.4,872.12,825.73,847.07,535134704,16.4,16.5,15.56,15.57,0,87.83,88.38,85.85,86.86
2026-07-07,7919.2,7954.55,7389.22,7656.31,516365835,843.74,866.59,812.7,831.23,543545333,15.87,16.64,15.53,16.13,0,85.78,86.27,84.5,85.69
2026-07-08,7452.48,7791.66,7186.21,7246.79,501070972,816.39,823.33,778.7,785,571917889,16.55,18.91,16.35,16.9,0,86.36,88.28,85.78,87.9
2026-07-09,7486.64,7543.86,7063.76,7291.91,582790735,792.99,819.69,778.17,794,442788844,16.58,17.27,15.76,15.84,0,89.64,89.64,85.31,85.48
2026-07-10,7552.49,7704.93,7429.51,7475.94,453242080,807,845.88,800.39,837.43,490953832,16.06,16.16,14.96,15.03,0,82.03,83.2,78.14,78.15
2026-07-13,7412.03,7529.07,6783.43,6806.93,474084812,839.72,867.38,797.34,799.36,523405341,16.32,17.41,16.03,17.16,0,77.66,83.35,75.88,83.33
2026-07-14,6769.06,6979.92,6448.86,6856.83,491599254,797.16,802.53,749.76,783.98,551552811,17.21,17.56,16.15,16.5,0,82.48,87.99,81.79,83.97
2026-07-15,7082.91,7424.18,7082.91,7284.41,397853705,805.71,831.68,805.59,829.43,497383070,16.2,16.57,15.64,15.67,0,86,88.31,83.69,85.79
2026-07-16,6960.5,6995.93,6730.87,6820.6,424279830,813.32,816.47,786.59,791.84,525847414,15.82,17.23,15.77,16.73,0,85.15,89.75,85.15,87.14
2026-07-17,,,,,,,,,,,18.01,19.5,17.68,18.77,0,,,,
2026-07-20,6643.58,6814.86,6472.8,6516.27,345824614,773.21,783.74,747,749.64,528417845,18.9,18.94,17.41,18.65,0,88.47,88.54,86.86,86.87
2026-07-21,6553.88,6836.86,6429.03,6747.95,391091597,750.07,758.36,730.81,753.34,498845706,17.48,17.99,16.86,17.05,0,87.07,87.07,84.73,84.89
2026-07-22,7052.09,7166,6791.06,6797.7,373810110,772.41,789.23,751.09,751.09,501117725,17.42,19.49,16.64,16.64,0,81.78,83.29,81.78,82.79
2026-07-23,6963.35,7108.44,6892.64,7096.89,397345768,763.51,790.28,760.83,790.28,498621523,17.67,20.31,17.32,18.7,0,81.56,81.62,80.2,80.46
2026-07-24,7000.78,7000.78,6650.41,6690.62,397654875,777.5,777.5,746.5,748.22,500190139,18.96,19.05,17.41,18.58,0,77.38,80.01,77.31,78.65
2026-07-27,6806.27,6806.27,6557.39,6755.75,275717624,760.54,780.39,753.73,764.86,414859181,17.62,19.93,17.53,18.67,0,78.2,78.37,77.53,77.55
2026-07-28,6400.27,6413.57,5992.91,6023.66,331260982,742.13,742.13,697.45,705.85,506775387,19.05,19.52,17.88,18.21,0,77.01,83.65,76.96,83.43
2026-07-29,6089.11,6228.52,5262.77,5663.24,457384769,713.71,719.39,630.99,662.68,638221461,18.27,20.88,17.45,20.66,0,81.45,93.27,80.19,87.79
2026-07-30,5681.77,5976.82,5547.41,5593.56,378859389,654.72,677.19,642.95,644.78,456434168,19.56,20.08,17,17.09,0,87.17,87.17,85.49,86.18
2026-07-31,5657.79,6630.77,5629.76,6595.45,434445151,666.47,723.56,663.25,719.76,445905868,16.82,18.7,15.82,15.99,0,83.43,86.59,82.68,84.35
