date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume,kospi_ret,kosdaq_ret,vkospi_change,log_ret,realized_vol,parkinson_vol,realized_vol_lag1,realized_vol_lag2,realized_vol_lag3,log_ret_lag1,vkospi_change_lag1,intraday_current,intraday_future,overnight_current,overnight_future,target_vol_pk
2026-06-16,-0.350109752855,-0.0215052457107,21,0,-0.181378479867,0.0734957210714,21,0,41100,41400,40450,40450,1427296,16.2,16.44,15.77,16.41,0.0,0.02091483542211756,-0.014956117649264996,-0.04136758062371529,-0.007389196182370977,0.03651170561023439,0.013941570328033965,0.0365185087536773,0.042291848402910885,0.03641064225157415,-0.0182375875497809,-0.023178355363575414,-0.350109752855,-0.0215052457107,-0.322010299564,-0.0230795805629,0.02451610619481809
2026-06-17,-0.14786306419,0.0825436503662,33,0,-0.322010299564,-0.0230795805629,31,0,40500,41250,39600,40550,1138416,16.08,18.84,16.02,18.44,0.0,0.015649373085599518,0.01295223506253269,-0.05662119765333327,0.0024691370569213276,0.029570848280511455,0.02451610619481809,0.03651170561023439,0.0365185087536773,0.042291848402910885,-0.007389196182370977,-0.04136758062371529,-0.14786306419,0.0825436503662,-0.143851081053,0.0345230752237,0.014362752350444905
2026-06-18,-0.2946936798,-0.0293211055498,48,0,-0.143851081053,0.0345230752237,19,0,40200,40200,39250,39300,1196377,17.23,17.6,16.35,16.4,0.0,0.022267665868581202,-0.03053033880034026,0.007504725654067572,-0.031311261686206404,0.03294147668264157,0.014362752350444905,0.029570848280511455,0.03651170561023439,0.0365185087536773,0.0024691370569213276,-0.05662119765333327,-0.2946936798,-0.0293211055498,-0.379664953203,-0.136893933422,0.03423814723547368
2026-06-19,-0.408264638245,-0.136068758399,43,0,-0.379664953203,-0.136893933422,31,0,39300,39700,37500,37750,2414692,,,,,,-0.001260746038382674,-0.03491043298367267,0.040537842003219526,-0.04023904318018189,0.01731302215862433,0.03423814723547368,0.03294147668264157,0.029570848280511455,0.03651170561023439,-0.031311261686206404,0.007504725654067572,-0.408264638245,-0.136068758399,-0.253231973817,0.0791408061457,0.02712158188401368
2026-06-22,-0.185572691565,0.130680890455,11,0,-0.253231973817,0.0791408061457,57,0,38250,38500,36800,36800,1352403,17.48,17.92,16.49,17.28,0.0,0.006839912459375984,0.001870811247506853,0.04435290798325018,-0.02548763052014844,0.01754141772360791,0.02712158188401368,0.01731302215862433,0.03294147668264157,0.029570848280511455,-0.04023904318018189,0.040537842003219526,-0.185572691565,0.130680890455,-0.371240902092,-0.0796988613067,0.048003100237478176
2026-06-23,-0.434081483085,-0.170203565699,39,0,-0.371240902092,-0.0796988613067,42,0,36550,37100,34250,34250,1929040,19.67,20.54,18.61,19.49,0.0,-0.10526970040189786,-0.08271735391251724,0.023195020750631814,-0.07181128046665089,0.026812709346435627,0.048003100237478176,0.01754141772360791,0.01731302215862433,0.03294147668264157,-0.02548763052014844,0.04435290798325018,-0.434081483085,-0.170203565699,-0.283327506538,-0.0333485916989,0.019403077467634245
2026-06-24,-0.324175827358,-0.0433785356499,33,0,-0.283327506538,-0.0333485916989,50,0,34100,34600,33500,34000,1655613,19.13,20.34,18.04,18.63,0.0,0.03204858910463159,0.01975819899059097,0.058642356182641214,-0.007326040092072898,0.023728578329649717,0.019403077467634245,0.026812709346435627,0.01754141772360791,0.01731302215862433,-0.07181128046665089,0.023195020750631814,-0.324175827358,-0.0433785356499,-0.216600475634,-0.0866246831975,0.027459009130053755
2026-06-25,-0.185718439381,0.0190381165821,16,0,-0.216600475634,-0.0866246831975,30,0,34450,35800,34200,34250,1678291,18.11,19.95,17.72,18.89,0.0,0.052799062506013586,-0.02392831400732568,0.0029489226214851204,0.007326040092072881,0.030617249498533238,0.027459009130053755,0.023728578329649717,0.026812709346435627,0.01754141772360791,-0.007326040092072898,0.058642356182641214,-0.185718439381,0.0190381165821,-0.180676901913,0.109690632469,0.0422408559626454
2026-06-26,-0.3131489478,-0.025990936748,53,0,-0.180676901913,0.109690632469,38,0,34550,34600,32250,33150,1776988,19.7,20.72,18.2,18.41,0.0,-0.05988464897563863,-0.04191093944315245,-0.025347469932461973,-0.032643848076362836,0.030010072181253466,0.0422408559626454,0.030617249498533238,0.023728578329649717,0.026812709346435627,0.007326040092072881,0.0029489226214851204,-0.3131489478,-0.025990936748,-0.314589825828,-0.0340209995152,0.06456360427134797
2026-06-29,-0.0976766201256,0.142208987485,39,0,-0.314589825828,-0.0340209995152,67,0,33050,36300,32600,35850,1802862,18.6,19.45,17.49,17.65,0.0,-0.0019707417959777896,0.0781462267176879,0.044615888798338846,0.07830085041375778,0.05550683847279349,0.06456360427134797,0.030010072181253466,0.030617249498533238,0.023728578329649717,-0.032643848076362836,-0.025347469932461973,-0.0976766201256,0.142208987485,-0.08105530034,0.306758948088,0.023019357989775262
