date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-06-08,-0.150864433531,0.0520583795594,35,0,-0.0392009840459,0.161953641422,239,0,293000,315500,292500,295500,38929682,20.29,20.35,17.94,18.92,0
2026-06-09,0.0175685416531,0.296651231098,32,0,0.0930206015722,0.267482366771,58,0,310000,324000,300000,322000,30124249,18.19,23.34,17.52,19.87,0
2026-06-10,0.00045534823,0.242472295664,20,0,-0.031577725998,0.175352187048,49,0,311000,314500,295250,302500,27050362,20.1,22.66,20.06,22.22,0
2026-06-11,-0.313033557729,-0.144182746311,13,0,0.117845265257,0.27772936456,44,0,290500,306500,287500,299000,31420307,21.25,22.59,19.36,19.44,0
2026-06-12,-0.00626422123056,0.311560670168,36,0,0.214279127522,0.280064292962,37,0,326000,339000,320000,322500,31006148,19.51,19.85,17.59,17.68,0
2026-06-15,0.00208185259333,0.22289465897,30,0,0.0679917656819,0.288270016772,170,0,342500,344500,334000,337000,21500067,16.78,16.85,15.98,16.2,0
2026-06-16,-0.16429576802,0.130868031406,10,0,0.127641380741,0.21519947815,44,0,343000,345500,332500,343000,17548685,16.2,16.44,15.77,16.41,0
2026-06-17,0.0634363614679,0.334250164829,42,0,0.0955803431417,0.200791677793,47,0,332000,348000,331500,346500,18134051,16.08,18.84,16.02,18.44,0
2026-06-18,-0.0486815640756,0.18087376281,16,0,0.231401247417,0.300435988039,49,0,345000,363000,344500,362500,32764450,17.23,17.6,16.35,16.4,0
2026-06-19,-0.179276086459,0.0587617084924,21,0,0.18117580953,0.341780205874,47,0,372500,374500,346250,354000,43284898,,,,,
2026-06-22,0.0234435745173,0.240173401196,26,0,0.101377469264,0.253516399391,174,0,343000,363000,342000,353500,24330451,17.48,17.92,16.49,17.28,0
2026-06-23,-0.0636108830889,0.147023983672,18,0,0.0121241944878,0.195697390716,49,0,347500,353000,310000,310000,41266630,19.67,20.54,18.61,19.49,0
2026-06-24,0.0262145555502,0.202252589405,43,0,-0.0707831986572,0.0877173694779,57,0,314000,341000,314000,340500,47809959,19.13,20.34,18.04,18.63,0
2026-06-25,0.0477375168387,0.380229291881,21,0,0.191129143977,0.362513081845,67,0,359500,362500,352000,358500,36157158,18.11,19.95,17.72,18.89,0
